"Symbol","Description","Sector","Industry","Same Sub-Industry As","Exchange","Price","Average Volume (10 Day)"
"SLDB","Solid Biosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.03","2,176,190"
"CCEL","Cryo-Cell International Inc","Health Care","Health Care Providers & Services","Health Care Services","NYS","$5.05","20,350"
"TCRT","Alaunos Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.06","46,430"
"SNES","Senestech Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$5.07","380,010"
"TLSI","TriSalus Life Sciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.07","272,830"
"CADL","Candel Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.10","1,064,850"
"KALA","KALA BIO Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.10","99,230"
"FHTX","Foghorn Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.13","196,820"
"RCEL","AVITA Medical Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.17","353,240"
"SSII","SS Innovations International Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$5.17","927,740"
"STRM","Streamline Health Solutions Inc","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$5.20","40,300"
"TKNO","Alpha Teknova Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$5.21","423,690"
"CTOR","Citius Oncology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.22","4,976,030"
"FTRE","Fortrea Holdings Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$5.22","3,247,950"
"RXRX","Recursion Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.27","28,965,470"
"ATYR","aTyr Pharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.28","4,589,060"
"NNOX","Nano-X Imaging Ltd","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$5.32","1,160,810"
"NEOG","Neogen Corp","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$5.33","8,537,920"
"ECOR","electroCore, Inc.","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$5.36","61,800"
"PLUR","Pluri Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.39","113,260"
"EPRX","Eupraxia Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.39","--"
"AIRS","AirSculpt Technologies Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$5.40","587,850"
