date,open,high,low,close,volume,average,barCount
2025-10-08 05:43:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:44:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:45:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:46:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:47:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:48:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:49:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:50:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:51:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:52:00-04:00,4.53,4.53,4.53,4.53,100.0,4.53,1
2025-10-08 05:53:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 05:54:00-04:00,4.51,4.51,4.51,4.51,167.0,4.51,1
2025-10-08 05:55:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:56:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:57:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:58:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 05:59:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:00:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:01:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:02:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:03:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:04:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:05:00-04:00,4.51,4.51,4.51,4.51,100.0,4.51,1
2025-10-08 06:06:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:07:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:08:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:09:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:10:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:11:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:12:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:13:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:14:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:15:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:16:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:17:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
